lat,lng,csq
23.736035,90.407725,16.99
23.7360317,90.4077233,17.99
23.7360317,90.407725,19.99
23.73604,90.4077867,20.99
23.7360683,90.4078917,19.99
23.7360517,90.4080117,21.99
23.736025,90.4080917,24.99
23.736025,90.408175,22.99
23.7360067,90.4082467,21.99
23.736035,90.4083583,23.99
23.7360583,90.40847,18.99
23.7360483,90.408555,22.99
23.736065,90.4086467,22.99
23.736035,90.4087183,22.99
23.73605,90.4087967,20.99
23.73603,90.408885,19.99
23.7360183,90.4089583,16.99
23.736025,90.4090583,15.99
23.7360283,90.409145,17.99
23.73804,90.40348,27.99
23.73844,90.4031183,27.99
23.7385833,90.4028417,27.99
23.7385567,90.4029283,27.99
23.7387133,90.4026017,27.99
23.738795,90.4024767,27.99
23.7350583,90.407945,27.99
23.735335,90.4076583,27.99
23.7353917,90.40755,28.99
23.73573,90.4072367,26.99
23.7358317,90.4070883,24.99
23.7358467,90.4069867,27.99
23.735965,90.4068267,25.99
23.7360067,90.4067317,24.99
23.7359933,90.40664,23.99
23.7359683,90.4065633,18.99
23.7359067,90.40653,20.99
23.7358317,90.406525,19.99
23.7357567,90.4065267,21.99
23.7356817,90.4065317,20.99
23.73561,90.4065333,20.99
23.73555,90.4065317,20.99
23.7354983,90.4065267,19.99
23.735405,90.40652,18.99
23.73527,90.4064933,17.99
23.73511,90.4064467,17.99
23.7349317,90.4064683,15.99
23.73477,90.4064867,16.99
23.7346133,90.40653,17.99
23.73446,90.4065183,12.99
23.7342433,90.40651,14.99
23.734045,90.4064983,12.99
23.7338567,90.4065133,9.99
23.733685,90.406555,7.99
23.7335333,90.40652,6.99
23.7333883,90.4064883,7.99
23.7332267,90.40646,6.99
23.73307,90.4064333,7.99
23.7329367,90.4064383,7.99
23.7328033,90.406435,6.99
23.7326083,90.40643,3.99
23.7324167,90.406425,3.99
23.7322583,90.40644,3.99
23.73215,90.4064083,2.99
23.732055,90.4063783,10.99
23.7319233,90.4063567,8.99
23.73179,90.4063183,10.99
23.7316667,90.4062967,8.99
23.7315483,90.406255,10.99
23.7313933,90.4062817,10.99
23.731265,90.4062733,9.99
23.7311367,90.4062717,9.99
23.7309883,90.4063033,9.99
23.7308967,90.4062783,8.99
23.7307583,90.4062767,9.99
23.7306633,90.4062683,8.99
23.7305517,90.406265,7.99
23.7304233,90.4062617,22.99
23.73032,90.4062533,21.99
23.7302433,90.4062883,21.99
23.73021,90.4063383,17.99
23.730215,90.406335,17.99
23.7302467,90.4062967,19.99
23.7302267,90.406295,15.99
23.730145,90.40623,18.99
23.7301083,90.40611,19.99
23.7300667,90.4060267,18.99
23.7300317,90.40589,19.99
23.7299867,90.405735,16.99
23.7299467,90.405535,16.99
23.72987,90.40537,12.99
23.7297933,90.4052067,12.99
23.7298183,90.405055,13.99
23.729925,90.4049217,13.99
23.730055,90.404845,7.99
23.7301633,90.404825,10.99
23.730275,90.4048133,10.99
23.7303567,90.404805,11.99
23.7304633,90.40479,15.99
23.7306067,90.4047633,14.99
23.7308617,90.4047183,14.99
23.731175,90.4046567,15.99
23.73152,90.404605,14.99
23.73189,90.4045567,13.99
23.73228,90.4044867,13.99
23.7326733,90.4043333,13.99
23.73303,90.40411,13.99
23.7333133,90.4038833,11.99
23.73357,90.4036917,9.99
23.7337783,90.4037267,9.99
23.733825,90.4039117,9.99
23.7338267,90.4041767,12.99
23.7338117,90.4045483,7.99
23.7337817,90.4048533,7.99
23.733755,90.405165,7.99
23.73372,90.4055017,4.99
23.733695,90.4058167,4.99
23.73368,90.4061333,4.99
23.733735,90.4063317,4.99
23.73388,90.40634,4.99
23.7341333,90.4064283,4.99
23.7343717,90.4064717,10.99
23.7346033,90.406445,11.99
23.7348533,90.406465,10.99
23.73517,90.406415,6.99
23.7353967,90.4063217,5.99
23.7357283,90.4063,12.99
23.7359467,90.40632,14.99
23.7360817,90.4064667,10.99
23.7360917,90.4066933,12.99
23.7361083,90.4069467,13.99
23.7361233,90.4071567,7.99
